"STATE","COUNTYNAME","LON","LAT","state_name"
"KS","CHEYENNE",-101.7311,39.7858,"KANSAS"
"KS","CLOUD",-97.6495,39.4804,"KANSAS"
"KS","FINNEY",-100.7369,38.0444,"KANSAS"
"ND","WILLIAMS",-103.4802,48.3437,"NORTH DAKOTA"
"ND","ADAMS",-102.5285,46.0969,"NORTH DAKOTA"
"ND","BARNES",-98.0716,46.9361,"NORTH DAKOTA"
"ND","BENSON",-99.366,48.0694,"NORTH DAKOTA"
"ND","BILLINGS",-103.3764,47.0234,"NORTH DAKOTA"
"ND","BOTTINEAU",-100.8335,48.7921,"NORTH DAKOTA"
"ND","BOWMAN",-103.5207,46.1126,"NORTH DAKOTA"
"ND","BURKE",-102.5182,48.7909,"NORTH DAKOTA"
"ND","BURLEIGH",-100.4688,46.9774,"NORTH DAKOTA"
"ND","CASS",-97.2481,46.933,"NORTH DAKOTA"
"ND","CAVALIER",-98.465,48.7721,"NORTH DAKOTA"
"ND","DICKEY",-98.5045,46.1102,"NORTH DAKOTA"
"ND","WARD",-101.5419,48.2218,"NORTH DAKOTA"
"ND","WELLS",-99.661,47.5876,"NORTH DAKOTA"
"ND","MORTON",-101.2811,46.7161,"NORTH DAKOTA"
"NE","BANNER",-103.7104,41.546,"NEBRASKA"
"NE","BOX BUTTE",-103.0857,42.2198,"NEBRASKA"
"NE","CHASE",-101.6979,40.5242,"NEBRASKA"
"NE","CHEYENNE",-102.995,41.2198,"NEBRASKA"
"NE","CUSTER",-99.7262,41.3943,"NEBRASKA"
"NE","DAWES",-103.1355,42.7197,"NEBRASKA"
"NE","MORRILL",-103.0105,41.716,"NEBRASKA"
"NE","PERKINS",-101.6496,40.8509,"NEBRASKA"
"NE","PHELPS",-99.4145,40.5111,"NEBRASKA"
"NE","RED WILLOW",-100.4768,40.1758,"NEBRASKA"
"NE","RICHARDSON",-95.7167,40.1249,"NEBRASKA"
"NE","SCOTTS BLUFF",-103.708,41.8506,"NEBRASKA"
"NE","SHERIDAN",-102.409,42.5048,"NEBRASKA"
"NE","THAYER",-97.5947,40.1763,"NEBRASKA"
"NE","VALLEY",-98.9819,41.5673,"NEBRASKA"
"NE","WEBSTER",-98.4999,40.1764,"NEBRASKA"
"SD","TRIPP",-99.884,43.3459,"SOUTH DAKOTA"
"SD","SULLY",-100.1322,44.7155,"SOUTH DAKOTA"
"SD","SPINK",-98.3463,44.9381,"SOUTH DAKOTA"
"SD","OGLALA LAKOTA",-102.5516,43.3356,"SOUTH DAKOTA"
"SD","POTTER",-99.9573,45.0645,"SOUTH DAKOTA"
"SD","PERKINS",-102.4759,45.4904,"SOUTH DAKOTA"
"SD","MCPHERSON",-99.2215,45.7664,"SOUTH DAKOTA"
"SD","LYMAN",-99.8474,43.8959,"SOUTH DAKOTA"
"SD","JERAULD",-98.6298,44.0664,"SOUTH DAKOTA"
"SD","JACKSON",-101.6281,43.6943,"SOUTH DAKOTA"
"SD","WALWORTH",-100.0316,45.4299,"SOUTH DAKOTA"
"SD","ZIEBACH",-101.666,44.9806,"SOUTH DAKOTA"
"ND","MCKENZIE",-103.3953,47.7402,"NORTH DAKOTA"
"ND","DUNN",-102.6183,47.3568,"NORTH DAKOTA"
"ND","SIOUX",-101.0404,46.1127,"NORTH DAKOTA"
"SD","STANLEY",-100.7359,44.4123,"SOUTH DAKOTA"
"ND","RICHLAND",-96.9483,46.2646,"NORTH DAKOTA"
"ND","WALSH",-97.7214,48.3694,"NORTH DAKOTA"
"SD","MEADE",-102.7168,44.5668,"SOUTH DAKOTA"
"SD","PENNINGTON",-102.8238,44.0037,"SOUTH DAKOTA"
"SD","FALL RIVER",-103.5276,43.2394,"SOUTH DAKOTA"
"TX","HIDALGO",-98.1811,26.3968,"TEXAS"
"TX","JIM WELLS",-98.0902,27.7311,"TEXAS"
"TX","DALLAM",-102.6022,36.2779,"TEXAS"
"TX","DAWSON",-101.9477,32.7425,"TEXAS"
"TX","DEAF SMITH",-102.6049,34.966,"TEXAS"
"TX","FLOYD",-101.3032,34.0724,"TEXAS"
"TX","HALE",-101.8269,34.0705,"TEXAS"
"TX","HANSFORD",-101.3545,36.2775,"TEXAS"
"TX","HARTLEY",-102.6029,35.84,"TEXAS"
"TX","HOCKLEY",-102.3432,33.6076,"TEXAS"
"TX","LAMB",-102.3517,34.0686,"TEXAS"
"TX","LIPSCOMB",-100.2731,36.2777,"TEXAS"
"TX","LUBBOCK",-101.8205,33.6102,"TEXAS"
"TX","LYNN",-101.8161,33.1768,"TEXAS"
"TX","MOORE",-101.8929,35.8377,"TEXAS"
"TX","NAVARRO",-96.4724,32.047,"TEXAS"
"TX","OCHILTREE",-100.8156,36.2784,"TEXAS"
"TX","SHERMAN",-101.8935,36.2777,"TEXAS"
"TX","YOAKUM",-102.8278,33.1729,"TEXAS"
"TX","COCHRAN",-102.8285,33.6041,"TEXAS"
"TX","CASTRO",-102.2617,34.53,"TEXAS"
"TX","BAILEY",-102.8298,34.0685,"TEXAS"
"CO","ARAPAHOE",-104.3381,39.6497,"COLORADO"
"CO","WELD",-104.3925,40.5549,"COLORADO"
"CO","ELBERT",-104.1359,39.2866,"COLORADO"
"CO","ADAMS",-104.3379,39.8736,"COLORADO"
"CO","LINCOLN",-103.514,38.988,"COLORADO"
"CO","KIOWA",-102.7404,38.4327,"COLORADO"
