"YEAR","STATE","COUNTYN","YIELD","ACRES_P","ACRES_H","LON","LAT","Jan_tmax","Feb_tmax","Mar_tmax","Apr_tmax","May_tmax","June_tmax","July_tmax","August_tmax","Sept_tmax","Oct_tmax","Nov_tmax","Dec_tmax","Jan_tmin","Feb_tmin","Mar_tmin","Apr_tmin","May_tmin","June_tmin","July_tmin","August_tmin","Sept_tmin","Oct_tmin","Nov_tmin","Dec_tmin","Jan_prcp","Feb_prcp","Mar_prcp","Apr_prcp","May_prcp","June_prcp","July_prcp","August_prcp","Sept_prcp","Oct_prcp","Nov_prcp","Dec_prcp"
1994,"CO","LOGAN",635,7300,7000,-103.1101,40.7247,6.08334890980486,4.63648474093467,15.2798853928427,17.6642321512964,26.4808131470015,32.0853054856594,32.287295103836,33.5873338623883,28.4672817369089,18.4536852836675,9.11035144137781,8.53207826618609,-7.90072133927097,-9.85009720981724,-2.64044445965013,1.33392828256468,8.52205542027616,13.9301753348172,14.4497434457449,15.0129857504805,9.8506040870474,3.36441659247528,-4.00686809174712,-6.52636660255034,12.2726253970833,6.8203974565064,6.36188083204574,33.556245704222,23.0973524232219,25.463821804919,88.1673973685956,12.3866392843869,16.6522482075882,96.1111458111648,12.4638112490068,8.83774590499382
1993,"CO","LOGAN",850,4500,4400,-103.1101,40.7247,-0.060314460175602,1.34074744269427,11.3638162304381,15.6922583596823,23.5627854276808,27.4431172926161,30.3444359711435,29.8145185640293,23.4669457293568,18.0852737759532,7.397852614047,6.22377296521776,-12.0801159571612,-11.5053263498379,-2.38383952038487,1.24072051893078,7.10919171257855,10.6988048959284,14.5617176933917,13.9540455671967,7.01268549980038,1.5012483446606,-6.7782577416635,-7.46268434847486,6.03264042344995,27.0487756297771,17.2205656976433,32.5057794273315,52.7210415132939,51.9040091773649,47.336717922074,49.8688667654426,27.4703335724791,50.5827429930601,25.9178662460362,5.82015956556159
1992,"CO","LOGAN",1115,5100,4900,-103.1101,40.7247,4.29355904681466,11.4891931554672,14.3363701493364,20.2704383543208,25.3441778112199,26.2863698499678,29.325225348297,28.5514404783872,27.7206877446014,20.3077103909415,6.81177131632616,-0.343657894716669,-9.04786064626705,-2.99909566396277,-1.54140860448571,2.16789769946628,7.08764207179845,11.7099609375,14.1526158524112,12.4827276933791,8.28881951560644,1.87676118578936,-5.57332549700288,-12.6833873577067,21.5390368121246,8.94278495408343,41.6929247396935,7.53773271386364,19.1475561144298,171.07594655707,46.2137497045661,70.7277675958387,16.7318436099988,18.2260533595808,15.7715254531868,8.63184592262679
1991,"CO","LOGAN",870,3800,3800,-103.1101,40.7247,3.52807191180923,13.3429613536068,13.3647180562188,17.2349860986414,23.5690234949273,29.5685396884041,32.8000738316635,31.5794194205047,27.3467330880127,19.960251924737,7.37801951308406,7.11837627584323,-10.8475838189125,-4.80287458292486,-3.10162494404369,1.23000872436336,8.35589114578796,13.7295075678986,15.3365210042589,14.5018765494638,8.79923641137266,0.578106419841325,-5.21824058736871,-7.41897140437854,5.47037132873895,4.440499185838,20.7174548592078,10.5773529262082,72.1623457831772,62.3634261015336,37.7381437638809,39.4470530517369,44.5173654214404,12.5347947130376,24.0519131565465,3.90043676124798
2011,"CO","WELD",1680,2600,2400,-104.3925,40.5549,4.78026524452209,5.67812237272448,14.2755152205763,17.2773158452561,19.4047182467157,29.2859729203201,32.9274974336958,32.577867774462,25.7747313590481,19.0966737893322,11.2767329715735,3.25659688928195,-11.2808109540244,-12.3439829376479,-3.82594245584818,-0.692578857420192,3.81271031312148,10.1491107409759,15.3610102313218,14.0786536570695,7.39332392095571,0.825107933527278,-6.01311376870024,-11.7013376821326,3.56430583629156,23.0183966835702,5.59489048815447,26.4982023155713,86.0629012834585,23.4917623684471,72.2301814205582,32.6405451798034,21.1302511903558,51.300659986964,15.3403873889406,11.1539175753404
2008,"CO","WELD",1300,4000,3900,-104.3925,40.5549,0.917791680153634,7.99662925234714,12.5784569747735,16.2202840239438,22.4931421187278,27.5129427609266,34.0977245103093,29.1964795218434,24.6399944320721,19.2105030663904,13.5642318338864,2.97488345413918,-13.3198426769047,-7.52733603332861,-4.62351480669024,-2.29066895587997,4.56858871358692,9.36298235546041,14.4585743368351,12.9686019212766,7.11921507102217,1.13890376566074,-3.47017597904923,-11.6105336075265,0.345915285720929,0.915392276817855,8.45959516114943,23.8653673392837,25.3569492965055,35.4632225147938,35.0714365665972,135.160885589537,34.4054421636933,19.5150019124739,7.32642509242267,9.65058224005338
2007,"CO","WELD",1080,6300,5700,-104.3925,40.5549,-1.14000346768924,4.30499125453038,15.6842998325143,16.0686954040414,24.230605895331,29.7947455195765,34.1384017807305,31.8754074598324,27.0119797132659,20.6139334893706,12.7713649679293,0.571284256620991,-15.5026615971496,-8.80684924110549,-1.94711511534783,-0.951444658821028,5.83840623412128,10.3718361867686,16.2354251607463,15.0794540271995,8.57004896877342,1.65057515596824,-6.37425593646731,-13.3864699970746,10.6811830814956,1.59313757528402,16.9579810368332,31.6286397465258,53.3364815537149,33.8986011542076,64.5828885799521,69.313767420782,28.2412708647987,22.5342354170656,2.57767974644503,21.6560977655094
2005,"CO","WELD",1285,4700,4200,-104.3925,40.5549,6.30009708592182,9.6774270521651,12.1567366718018,16.5490556765436,22.4987173920125,27.5673012902737,34.368172703558,30.6838963456359,28.2171073562462,19.5517662703287,13.2834774794113,5.07440684823487,-7.84389195677342,-7.62841400114914,-4.79292451757632,-0.115892838968344,5.0048332684413,10.3940372390005,13.6108887053604,11.7896408582791,8.16786504725698,1.66564006335846,-3.78969253996955,-10.8595828425073,6.44537961460167,2.90372170329851,10.0970913225067,42.8126186972795,45.8519332566156,98.733235588631,13.3189563051959,16.5662912055965,10.0044454359322,82.178278706196,9.31235705585434,1.82872592660729
2004,"CO","WELD",1345,3800,2900,-104.3925,40.5549,6.21239415133642,6.3457218841868,16.9155100360682,17.4691731975049,24.2472338079662,25.9274198471423,30.5982509952886,29.136566343908,26.3541855620463,18.5714144921845,8.61802341273059,6.73783546794098,-9.90938589685556,-9.49437356264792,-2.73475268361729,0.735909864210536,6.53374731741356,9.82871442208537,12.834800307004,10.6035583351091,7.63045320374547,1.89730938534204,-5.75360468363536,-8.79353311059708,8.42676963162886,9.84247416804028,4.29641971520859,25.6189660753798,51.0625352154806,49.1224930499557,20.9671719991148,32.1314500417976,39.6665606024887,26.3613603320186,21.882375998514,3.20051543402678
2003,"CO","WELD",1100,6800,6000,-104.3925,40.5549,9.83521204379477,5.14814204277115,12.6062952202465,18.5361393946713,22.700050760607,25.6076890530064,35.541002731727,32.055373667203,25.0330662137929,22.8902434081382,8.87876045067378,6.8572505174348,-7.4627823891975,-9.41198016700882,-3.58276882030151,1.20272144763774,5.92133218871466,9.43261811966749,15.2174838179748,14.3265571679581,5.8703017116866,1.19537788701693,-6.07668833684585,-9.51555704965829,1.62609598629657,7.17173294162724,50.214089623705,39.9884111132705,67.6509078270464,60.3762876974906,21.7629398462165,49.1466965827253,7.04675563862064,0.979437695410881,8.98494367413815,5.92333653363337
2002,"CO","WELD",870,5500,3300,-104.3925,40.5549,6.98290039195134,9.63639957413536,10.8498366910352,20.3811658259987,23.8583094918586,33.0177398415689,34.648446141058,31.9274696072659,25.934020448251,14.7254008959406,9.21109686443429,7.76136008275249,-11.2741153637828,-10.4486101991643,-8.19172774827504,0.329657811861377,4.48083883234984,12.2180365937587,15.0275400785638,12.6731608243276,8.21508525053144,-1.9431204706359,-5.88965505044338,-8.26594299008182,5.25117705433376,5.90294831461152,12.6210230878171,0.784656410485371,25.1270531049862,44.7077811099389,8.69274273080862,64.502612843282,12.3950307723115,26.4594654043336,9.33170078730497,0.0707607575711835
2001,"CO","WELD",740,2500,2300,-104.3925,40.5549,5.11351939423526,3.87863411423652,11.117826474883,17.9110793801845,22.1620867198042,29.8555515671139,33.4817328050363,32.0271959541218,27.6619625347808,18.7699257292719,13.0888599790565,8.13147379809145,-9.81865342737957,-9.4383169907397,-4.15487486732561,1.27081641301172,5.88712428095686,10.9952446680646,15.9488341280267,13.5290110324212,8.26083145072086,0.74682818799522,-4.83600565962712,-9.22590844542766,8.72341596762297,8.85269763642539,11.9641993612256,58.3450412541907,97.1533744475273,36.4319342207806,87.8604671318003,16.4224109220223,30.681575015398,14.6402719673782,18.4233929678414,0.310745269412303
2000,"CO","WELD",1120,2000,1700,-104.3925,40.5549,7.89052694015246,11.7703251140445,12.6480855985068,19.6473842255105,25.1626202888786,28.6815789077071,33.6829354571559,32.7576270402999,25.9214372720435,17.9351365571574,5.00970293767095,4.36537049553677,-8.58196059766556,-6.12048384923145,-2.99214823447515,-0.51281342208137,6.00828907774066,9.56240083213405,14.8207018938848,13.6800231489853,7.41865075734818,1.59919793582671,-9.69565013458369,-11.5258706709444,2.97551050709303,10.3247110989006,22.7497302241788,17.0015552205562,75.9274552304484,27.4564418133315,16.6874660033057,12.825669554759,31.1324850901433,10.0083481959409,10.0158262012819,9.15203787367146
1999,"CO","WELD",1500,4000,4000,-104.3925,40.5549,7.40107401119259,11.9345703898137,15.0126075735219,13.8480479677101,21.4159862804948,27.5544922204866,32.5428010154587,30.4494980939186,22.7839988555924,20.1415200226949,15.7810830000954,9.15804361347534,-6.44925893959281,-5.3416336499903,-3.7131328212504,-1.10930984707448,5.15436429580796,9.87512748056462,14.9566164132941,13.3799132598718,5.51722620793204,-0.11625556682254,-4.77297948864126,-7.5303334183552,5.55371885723646,0.579062020903466,10.8589603024472,139.298035910433,36.7573368643729,48.4504171919885,50.551786595967,88.4687863931103,65.4408701874586,10.2473307019177,5.06521160460812,2.4903665621997
1998,"CO","WELD",1175,9000,8500,-104.3925,40.5549,7.39867947067609,8.42806535944345,10.8329467628504,16.5150169954246,24.2926417292837,26.2237073472667,31.9520072531313,30.8858422251601,28.916173803165,16.8546461178158,12.0994643403664,4.12826072910327,-8.47824545050599,-5.68927513064326,-5.28601082275339,-0.461696410221719,6.46557565198142,8.42429082944679,15.0607787539122,13.1348293092092,9.83268541687309,2.33070637934811,-3.18959237174276,-11.3170647226824,2.67598610316837,4.90664443408429,15.6453305986558,22.2340608040367,50.6027404156037,34.1480361703942,90.8937614562451,25.5837839673414,22.4871374938709,50.8595480201369,9.64810367967193,13.9973753253138
1997,"CO","WELD",800,2200,2000,-104.3925,40.5549,2.74409206683686,6.00520425855872,14.8964329018916,12.7796284341157,22.8272930088763,27.9109332053593,32.2833262781961,29.2283158514237,26.0327609868671,18.7423437068042,8.58916511833529,5.09435395871749,-11.5516924523285,-7.40735153538859,-4.70959103762082,-2.34254815569601,5.69209338699308,11.5213283938726,13.7287426069982,12.9883336626428,9.27091779857474,0.623926145757574,-6.41223699957108,-8.44394180445546,13.1278830040899,9.75421933309857,9.3291064500439,20.1481149697213,42.2462406755503,78.1512822477665,70.0780355524133,99.8545053927248,30.268731689851,43.0813990247953,6.08744434226558,5.68191887256967
1996,"CO","WELD",985,3200,3000,-104.3925,40.5549,5.5029887050964,8.81883810841899,10.8394849618046,18.500756457119,22.9527126232707,29.2283964389518,30.7604766294138,30.6124906945467,23.9086901650747,19.1643998197384,10.2284353591746,7.83297703462167,-13.6235723552654,-9.48951859876752,-6.83439375151169,-0.718658599252356,6.28516858141653,10.4948394096666,13.8757080822026,11.4526770068913,7.29909707994922,1.09425836496867,-5.97539545664116,-9.30535930722021,12.4993227433107,0.681636972892224,26.3172953177044,11.8156573096728,62.2225372340269,51.6005043421548,62.837766181526,41.0610602441663,61.3901201213474,9.22325833007943,4.97178828279169,0.119284250556701
1995,"CO","WELD",700,3500,2400,-104.3925,40.5549,5.94251545062805,9.63624212149741,12.5590162448298,13.773444891292,16.6841997416691,25.2555517338445,31.279601057258,33.3502883415074,24.2335992421715,18.3446591100928,13.3811353886034,8.10818158734922,-9.56928712444415,-6.99231512457108,-4.79094577717752,-1.85495535988595,4.68700325991114,9.39420577997557,12.5750609112446,13.3760456648646,7.84997921367859,-0.395790504042984,-5.23364065808134,-9.33420658681518,3.4537793277338,12.2915933055447,4.45511393428525,38.9845979978717,92.0673063486835,139.124064053183,33.8340546306315,7.95346797781403,64.3450619112401,6.60896297936368,10.0955402414047,0.670462958875227
1994,"CO","WELD",690,4600,4500,-104.3925,40.5549,7.1578826686089,4.17910860494955,14.6944487413971,16.7370802265349,25.3925509309908,31.9162635363051,31.63014918833,31.6605878969998,27.8084282121692,17.7899905763031,8.92173875417101,8.46806141627923,-8.51576906903586,-11.2891612234158,-3.99794143901272,0.370997633201261,6.42146386165932,12.0963265387738,12.8505848731155,13.3772602733541,7.79399142203545,1.87370045299273,-5.81234175341341,-8.39573679094376,11.2103165553344,6.72833839014418,3.08373879611542,27.6947517925235,15.6094324977773,31.8989430512259,30.1238388408879,34.3643351327279,13.5123627858635,44.1844452400032,10.4761670940149,9.12370905131817
1993,"CO","WELD",1100,3800,3200,-104.3925,40.5549,0.195642617706442,2.44917036138601,12.2770204330102,15.6146829923972,22.8977102191235,27.0239278952493,30.7565085998248,28.7462842093434,23.7833889223084,16.7747156424342,6.68441056354319,6.0467628437956,-13.98812538313,-11.0516500832476,-3.22475377171066,0.212027535606684,5.75888051872117,9.58672945474888,12.7630061532019,12.0563237799519,5.64001835653244,0.347076010315102,-8.95904093704869,-8.50666993719334,8.04031733793379,15.9093177250286,15.1282548288557,45.1821157771129,35.6518161085472,54.1144723147421,15.8294648824026,64.5107677286775,44.1648289011964,43.1512533828653,23.2739887620337,4.99715566565308
1992,"CO","WELD",1220,1700,1700,-104.3925,40.5549,6.20637517320248,11.3482924360569,13.4133579935152,20.5901240340927,24.0394479190337,26.6648627070765,29.0769642385866,28.1121282649981,27.291514786703,20.3569045704217,6.00069541470287,-0.0789199901961993,-9.66903512734929,-4.73080830674521,-2.25836623175507,1.51840809717129,5.85891854531385,10.3235339703824,12.7761637205812,11.1265835998958,7.06708803199857,1.21945826208849,-7.43115136822076,-14.0225167116549,13.5692847310547,0.277481480426382,64.2491821585118,11.6837911837286,21.3454029015222,57.1110149814875,56.3902643633962,69.2846885171149,0.858052611085446,16.9954518894154,24.033499915315,7.38139801601991
1991,"CO","WELD",780,1600,1500,-104.3925,40.5549,3.29646237582302,12.0819697250352,12.949360279878,16.4313398731769,23.6597982268144,28.7742285860061,31.0244995518741,30.3529224039351,25.8759916019033,19.4584926979846,7.00228624899101,7.82105369097766,-12.5354622392815,-7.21987078442492,-4.59026952863161,-0.132949411832735,6.61245605658037,11.6486005371395,13.4081502661467,13.0019811965262,7.23415227658469,-0.528257704197679,-6.33279259063894,-9.250547628755,3.69479805567385,0.0640289572788735,3.30389126682178,20.589175991686,51.6274307744395,61.4932370099488,71.4244991002974,33.0371250919838,23.8266617760278,9.73188150965717,27.8205897367416,0.506569049760815
2016,"CO","ADAMS",970,3900,3800,-104.3379,39.8736,4.7673163007953,9.04318710112241,12.4729964372371,14.8036795921952,18.8448943289523,29.7890520501693,32.2860759021995,29.229598769786,26.929519599211,22.9923542655833,14.8748008918363,4.33458027811809,-8.49957536384447,-5.78433575650014,-3.00835326400719,0.813394566945786,4.89286561953455,12.9660627383114,14.7575601971874,12.293115427602,8.69005116153,3.70251641742645,-2.37395282212617,-11.8565985878171,13.3858418392975,22.5137876966568,31.0886670689644,72.5905483178623,70.8794652899501,43.5779568712952,38.9390365533948,44.0275561913238,5.56969439671164,6.2068372412663,15.5423652592852,23.4471010323022
2014,"CO","ADAMS",1350,5200,5200,-104.3379,39.8736,6.15937042196886,4.80913043830302,12.6810954219261,16.4214802598547,20.9239759027662,27.4837126521937,30.6015920344495,28.3555474089681,25.611123021992,20.1280032736039,9.29753433318376,5.93751703528152,-9.85871617933924,-10.9942694580676,-4.35602293617764,0.552833766199028,5.71439772730363,10.051587756973,14.4417142217727,12.5501645623391,8.88937669598157,2.64777302824287,-7.28263630931038,-9.02462757757716,27.8663752649395,6.99591030021177,25.1489970418203,42.3065784672179,101.489644952592,73.4622358227446,84.8327510954707,78.1967979476214,56.474185787514,10.4920348066624,20.9755749243232,16.7639068270262
2011,"CO","ADAMS",720,8100,7600,-104.3379,39.8736,4.88306201514802,5.14877771117738,14.298948357333,16.725973970859,18.2068624177508,28.6868729243706,32.8624889595482,33.426457625949,25.2603764700612,19.143366723288,11.8161711921182,3.17199930631558,-9.89231838404912,-10.9319974600224,-3.6101635092583,-0.286144784947933,3.85959889231777,10.7545476356441,15.1356677126511,14.8749901092563,8.37392004607934,1.5269226030065,-5.64933952893718,-11.0709995856654,18.1338737751188,15.4683541066469,6.5346889859091,28.8330585903859,115.746918574523,40.5992979288871,71.7961253871873,11.9436243354781,37.9147210002356,41.0765497873135,17.1020989446746,18.8277399565074
2007,"CO","ADAMS",850,13700,13500,-104.3379,39.8736,-1.50622038792209,3.5138875060418,14.7025551335564,15.0918113776153,22.1798786572076,28.8805012566291,32.8777327426469,31.7885915941678,26.4082936728481,20.2423985627424,13.0051319822359,2.48478283988537,-15.1044078204004,-9.99721114686651,-0.760806388755085,0.0644124223719188,6.81649735876855,11.0616247106137,15.2916463312549,14.9661155504784,8.98257713118121,2.58125684509085,-4.44807415326017,-11.4857302710419,18.5807731201084,14.1170864640979,14.6578618492417,85.2891267422626,66.6455217123179,38.1894158777086,29.8806125585495,79.3982100120984,17.8382510219575,22.2769926703668,6.61050670381723,23.8857062470588
2005,"CO","ADAMS",1110,7400,7400,-104.3379,39.8736,6.83707002421559,9.02492027825485,11.4625991958796,14.9575310315704,21.929565148871,27.4739638614455,34.2327941326179,29.8850198889577,27.9486391350022,18.7406232657061,13.7175571158033,4.68957215468744,-7.75071888919704,-6.34606932560802,-4.29006814198768,0.0923712829982655,5.42570716530382,10.2643295954723,15.186584941284,12.5672024014399,9.26656235762923,2.38588593034384,-3.13385697425999,-10.1280028697644,16.0788364688101,1.10530075507719,23.6340109213095,76.2596358963711,22.5642165319963,97.3255021232606,28.0254972911713,49.1478926144427,5.83397401097385,72.4242002238164,14.4494869282284,10.8183051801227
2004,"CO","ADAMS",1075,4800,4400,-104.3379,39.8736,7.23253934298261,5.61341576258122,16.2122864476102,16.3567947993706,23.4403260725562,25.7664203406326,29.880651720362,28.6727972428425,26.0565732808151,18.888278365998,9.22693176835789,7.94570732720162,-9.70038472815354,-8.1008713779948,-1.71047097559908,1.17325730618375,6.00898393506231,9.73124018595964,12.8604223451851,11.0703834816499,8.0201989323203,1.80312176253866,-4.60173235597559,-7.59697753295223,8.97135570388277,13.6328386090078,12.7246915257862,57.4302689875185,52.1244584834146,73.1952448778443,62.496870579082,49.7716020061538,35.386260859438,22.8013752168678,25.6484587097162,5.38862773735482
2003,"CO","ADAMS",945,7500,7000,-104.3379,39.8736,10.2461914373781,4.47811937608781,11.2881766843129,18.4763812781326,21.9427890389033,24.7043317038259,35.0919611583621,32.1670055092855,24.1715584860791,22.0593730693868,9.53789883063514,8.07006888365236,-7.24888630948719,-10.0560679698347,-3.24926541596474,2.35427519989927,6.36595932310019,9.88543162579143,15.4413019271191,14.123231346013,6.03227904219142,2.93010246348449,-6.21325488927215,-8.94164555718936,4.48348609279766,19.1679688954983,88.6370561035503,40.6464119148419,44.8057329147796,81.2615599726608,16.8282678605093,59.2366285003318,5.4453888036305,3.50134893316824,3.55790576008522,10.3342856818015
2002,"CO","ADAMS",850,7100,7000,-104.3379,39.8736,6.00362283343593,8.68375724258649,9.51087172630596,19.3050555446729,22.3658749870721,31.5184577401639,33.9550682342563,31.3286598714996,25.7648617536124,15.2306696551365,9.66684362712354,8.21759193677885,-10.1149869051403,-9.04947292175143,-8.12924927142844,-0.0240633123455637,4.28648552433992,12.3353485009682,15.1550014442614,12.5076613037717,8.83967592068345,-1.21196327149331,-5.15285632914396,-8.26957893841232,11.2715045220209,8.93392440711703,21.2771670925451,6.31818237674889,27.6371526162175,50.5367218621891,14.947573239378,21.0521837010886,24.8269588327165,18.6516034429348,7.89213799610242,1.66676072924314
2001,"CO","ADAMS",1270,7000,7000,-104.3379,39.8736,5.22340725905418,5.31189595950889,10.6479245927863,17.3543983418427,21.160433904713,29.4515143059435,33.0573356698555,31.2101859338705,27.7032377067529,19.535983640281,13.0865704078715,6.89565140457937,-9.49737977402008,-8.91429878973229,-3.51353147451521,0.956758637110112,5.84810957119939,11.2129728408878,15.3383272212185,13.532569605286,8.78785139820063,0.584957035514796,-4.72100638561889,-8.52513771718436,14.6386032647054,17.7257060706669,35.8069625904699,51.1539179514549,113.415353700758,32.7707861652236,77.058939255909,27.6191856005385,39.4601769057309,5.74556521285232,34.6051103459249,4.08726794464929
